COHORTE,CAMPUS,FACULTAD,CARRERA,DOMICILIO_CIUDAD,DOMICILIO_COMUNA,DOMICILIO_PROVINCIA,DOMICILIO_REGION_D,GRUPO_ANHO_EGRESO,UNIDAD_EDUCATIVA,DEPENDENCIA,TIPO_EDUCACION,POSICION_LISTA_POST,GRUPO_ED_PADRES,SEXO,COMUNA_COLEGIO,REGION_COLEGIO,1RA_PREFERENCIA,PTJE_LENGUAJE,PTJE_MATEMATICAS,PTJE_NEM,FINANCIAMIENTO,GRATUIDAD,TRABAJA_Y_ESTUDIA,HIJOS,DISCAPACIDAD,SITUACION_DE_POSTULACION,CERCANIA,DESERTA_1ER_ANHO,AMBAS_PRUEBAS,MAX_PTJE,EDAD_EGRESO_COLEGIO,EDAD_INGRESO_UNIV
2016,TALCA,FACULTAD DE CIENCIAS DE LA SALUD,NUTRICION Y DIETETICA,TALCA,TALCA,TALCA,REGION DEL MAULE,ANOS ANTERIORES,2,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,78,NINGUNO PROFESIONAL,MUJER,TALCA,7,0,624,472,662,SI,NO,Si,Si,No,LISTA DE ESPERA,CERCA,0,1,LENGUAJE,18,32
2016,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,TALCA,CUREPTO,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,42,NINGUNO PROFESIONAL,MUJER,CUREPTO,7,1,551,546,626,NO,NO,Si,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,17,18
2016,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL DE MINAS,CAUQUENES,PELLUHUE,LINARES,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,88,NINGUNO PROFESIONAL,HOMBRE,CAUQUENES,7,0,472,593,538,NO,NO,No,No,No,LISTA DE ESPERA,LEJOS,0,0,MATEMATICAS,17,18
2016,TALCA,FACULTAD DE CIENCIAS DE LA SALUD,KINESIOLOGIA,CURICO,LICANTEN,CURICO,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,52,NINGUNO PROFESIONAL,HOMBRE,HUALANE,7,1,551,558,698,NO,NO,No,No,No,SELECCIONADO,LEJOS,0,1,MATEMATICAS,18,19
2016,TALCA,FACULTAD DE CIENCIAS JURIDICAS Y SOCIALES,DERECHO,PARRAL,PARRAL,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,106,NINGUNO PROFESIONAL,MUJER,PARRAL,7,1,507,539,723,NO,NO,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,18,19
2016,TALCA,FACULTAD DE ECONOMIA Y NEGOCIOS,INGENIERIA COMERCIAL,LINARES,SAN JAVIER,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,141,NINGUNO PROFESIONAL,MUJER,SAN JAVIER,7,1,543,569,626,NO,NO,No,No,No,LISTA DE ESPERA,LEJOS,0,0,MATEMATICAS,17,18
2016,TALCA,FACULTAD DE ECONOMIA Y NEGOCIOS,INGENIERIA COMERCIAL,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,19,AMBOS PROFESIONALES,MUJER,TALCA,7,1,657,616,723,NO,NO,No,No,Si,SELECCIONADO,CERCA,0,1,LENGUAJE,17,18
2016,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,TALCA,EMPEDRADO,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,61,NINGUNO PROFESIONAL,MUJER,SAN JAVIER,7,1,493,507,760,NO,NO,No,No,No,SELECCIONADO,CERCA,0,1,MATEMATICAS,18,19
2017,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL MECANICA,CURICO,CURICO,CURICO,REGION DEL MAULE,ANOS ANTERIORES,1,MUNICIPAL,TECNICO PROFESIONAL,37,ALGUNO PROFESIONAL,MUJER,NUNOA,13,0,487,562,586,NO,NO,No,No,No,SELECCIONADO,CERCA,0,0,MATEMATICAS,18,22
2017,TALCA,FACULTAD DE CIENCIAS DE LA SALUD,TECNOLOGIA MEDICA,SANTIAGO,LO BARNECHEA,CORDILLERA,REGION METROPOLITANA DE SANTIAGO,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,52,NINGUNO PROFESIONAL,HOMBRE,LO BARNECHEA,13,0,620,583,713,SI,NO,No,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,18,20
